Running in CPU mode	
Epoch 1.63 / 5, i = 226 / 1780, loss = 3.344096	
Epoch 1.64 / 5, i = 227 / 1780, loss = 3.320027	
Epoch 1.64 / 5, i = 228 / 1780, loss = 3.337205	
Epoch 1.64 / 5, i = 229 / 1780, loss = 3.255144	
Epoch 1.65 / 5, i = 230 / 1780, loss = 3.303991	
Epoch 1.65 / 5, i = 231 / 1780, loss = 3.301464	
Epoch 1.65 / 5, i = 232 / 1780, loss = 3.375656	
Epoch 1.65 / 5, i = 233 / 1780, loss = 3.259224	
Epoch 1.66 / 5, i = 234 / 1780, loss = 3.298453	
Epoch 1.66 / 5, i = 235 / 1780, loss = 3.314990	
Epoch 1.66 / 5, i = 236 / 1780, loss = 3.284683	
Epoch 1.67 / 5, i = 237 / 1780, loss = 3.290015	
Epoch 1.67 / 5, i = 238 / 1780, loss = 3.374730	
Epoch 1.67 / 5, i = 239 / 1780, loss = 3.278079	
Epoch 1.67 / 5, i = 240 / 1780, loss = 3.275018	
Epoch 1.68 / 5, i = 241 / 1780, loss = 3.292853	
Epoch 1.68 / 5, i = 242 / 1780, loss = 3.346840	
Epoch 1.68 / 5, i = 243 / 1780, loss = 3.259270	
Epoch 1.69 / 5, i = 244 / 1780, loss = 3.271968	
Epoch 1.69 / 5, i = 245 / 1780, loss = 3.321272	
Epoch 1.69 / 5, i = 246 / 1780, loss = 3.262645	
Epoch 1.69 / 5, i = 247 / 1780, loss = 3.317164	
Epoch 1.70 / 5, i = 248 / 1780, loss = 3.277949	
Epoch 1.70 / 5, i = 249 / 1780, loss = 3.340478	
Epoch 1.70 / 5, i = 250 / 1780, loss = 3.292340	
Epoch 1.71 / 5, i = 251 / 1780, loss = 3.275187	
Epoch 1.71 / 5, i = 252 / 1780, loss = 3.318506	
Epoch 1.71 / 5, i = 253 / 1780, loss = 3.287675	
Epoch 1.71 / 5, i = 254 / 1780, loss = 3.302516	
Epoch 1.72 / 5, i = 255 / 1780, loss = 3.288044	
Epoch 1.72 / 5, i = 256 / 1780, loss = 3.304866	
Epoch 1.72 / 5, i = 257 / 1780, loss = 3.333371	
Epoch 1.72 / 5, i = 258 / 1780, loss = 3.306544	
Epoch 1.73 / 5, i = 259 / 1780, loss = 3.251711	
Epoch 1.73 / 5, i = 260 / 1780, loss = 3.299700	
Epoch 1.73 / 5, i = 261 / 1780, loss = 3.358454	
Epoch 1.74 / 5, i = 262 / 1780, loss = 3.249916	
Epoch 1.74 / 5, i = 263 / 1780, loss = 3.275324	
Epoch 1.74 / 5, i = 264 / 1780, loss = 3.235073	
Epoch 1.74 / 5, i = 265 / 1780, loss = 3.254152	
Epoch 1.75 / 5, i = 266 / 1780, loss = 3.272805	
Epoch 1.75 / 5, i = 267 / 1780, loss = 3.267597	
Epoch 1.75 / 5, i = 268 / 1780, loss = 3.342786	
Epoch 1.76 / 5, i = 269 / 1780, loss = 3.330651	
Epoch 1.76 / 5, i = 270 / 1780, loss = 3.258676	
Epoch 1.76 / 5, i = 271 / 1780, loss = 3.335815	
Epoch 1.76 / 5, i = 272 / 1780, loss = 3.224141	
Epoch 1.77 / 5, i = 273 / 1780, loss = 3.284741	
Epoch 1.77 / 5, i = 274 / 1780, loss = 3.264602	
Epoch 1.77 / 5, i = 275 / 1780, loss = 3.319989	
Epoch 1.78 / 5, i = 276 / 1780, loss = 3.292442	
Epoch 1.78 / 5, i = 277 / 1780, loss = 3.287500	
Epoch 1.78 / 5, i = 278 / 1780, loss = 3.288697	
Epoch 1.78 / 5, i = 279 / 1780, loss = 3.282412	
Epoch 1.79 / 5, i = 280 / 1780, loss = 3.291237	
Epoch 1.79 / 5, i = 281 / 1780, loss = 3.329230	
Epoch 1.79 / 5, i = 282 / 1780, loss = 3.303799	
Epoch 1.79 / 5, i = 283 / 1780, loss = 3.264539	
Epoch 1.80 / 5, i = 284 / 1780, loss = 3.330290	
Epoch 1.80 / 5, i = 285 / 1780, loss = 3.248627	
Epoch 1.80 / 5, i = 286 / 1780, loss = 3.228451	
Epoch 1.81 / 5, i = 287 / 1780, loss = 3.276456	
Epoch 1.81 / 5, i = 288 / 1780, loss = 3.241251	
Epoch 1.81 / 5, i = 289 / 1780, loss = 3.248816	
Epoch 1.81 / 5, i = 290 / 1780, loss = 3.286732	
Epoch 1.82 / 5, i = 291 / 1780, loss = 3.273852	
Epoch 1.82 / 5, i = 292 / 1780, loss = 3.247514	
Epoch 1.82 / 5, i = 293 / 1780, loss = 3.203305	
Epoch 1.83 / 5, i = 294 / 1780, loss = 3.298155	
Epoch 1.83 / 5, i = 295 / 1780, loss = 3.215166	
Epoch 1.83 / 5, i = 296 / 1780, loss = 3.238951	
Epoch 1.83 / 5, i = 297 / 1780, loss = 3.222378	
Epoch 1.84 / 5, i = 298 / 1780, loss = 3.259201	
Epoch 1.84 / 5, i = 299 / 1780, loss = 3.284133	
Epoch 1.84 / 5, i = 300 / 1780, loss = 3.202404	
Epoch 1.85 / 5, i = 301 / 1780, loss = 3.262388	
Epoch 1.85 / 5, i = 302 / 1780, loss = 3.275181	
Epoch 1.85 / 5, i = 303 / 1780, loss = 3.259979	
Epoch 1.85 / 5, i = 304 / 1780, loss = 3.212857	
Epoch 1.86 / 5, i = 305 / 1780, loss = 3.258305	
Epoch 1.86 / 5, i = 306 / 1780, loss = 3.199985	
Epoch 1.86 / 5, i = 307 / 1780, loss = 3.272502	
Epoch 1.87 / 5, i = 308 / 1780, loss = 3.303278	
Epoch 1.87 / 5, i = 309 / 1780, loss = 3.239076	
Epoch 1.87 / 5, i = 310 / 1780, loss = 3.256392	
Epoch 1.87 / 5, i = 311 / 1780, loss = 3.256446	
Epoch 1.88 / 5, i = 312 / 1780, loss = 3.240011	
Epoch 1.88 / 5, i = 313 / 1780, loss = 3.322344	
Epoch 1.88 / 5, i = 314 / 1780, loss = 3.305786	
Epoch 1.88 / 5, i = 315 / 1780, loss = 3.263867	
Epoch 1.89 / 5, i = 316 / 1780, loss = 3.281123	
Epoch 1.89 / 5, i = 317 / 1780, loss = 3.221560	
Epoch 1.89 / 5, i = 318 / 1780, loss = 3.259847	
Epoch 1.90 / 5, i = 319 / 1780, loss = 3.233990	
Epoch 1.90 / 5, i = 320 / 1780, loss = 3.280727	
Epoch 1.90 / 5, i = 321 / 1780, loss = 3.243634	
Epoch 1.90 / 5, i = 322 / 1780, loss = 3.268252	
Epoch 1.91 / 5, i = 323 / 1780, loss = 3.203053	
Epoch 1.91 / 5, i = 324 / 1780, loss = 3.251199	
Epoch 1.91 / 5, i = 325 / 1780, loss = 3.259069	
Epoch 1.92 / 5, i = 326 / 1780, loss = 3.279358	
Epoch 1.92 / 5, i = 327 / 1780, loss = 3.229272	
Epoch 1.92 / 5, i = 328 / 1780, loss = 3.240886	
Epoch 1.92 / 5, i = 329 / 1780, loss = 3.249595	
Epoch 1.93 / 5, i = 330 / 1780, loss = 3.241421	
Epoch 1.93 / 5, i = 331 / 1780, loss = 3.266093	
Epoch 1.93 / 5, i = 332 / 1780, loss = 3.189935	
Epoch 1.94 / 5, i = 333 / 1780, loss = 3.242616	
Epoch 1.94 / 5, i = 334 / 1780, loss = 3.230449	
Epoch 1.94 / 5, i = 335 / 1780, loss = 3.187052	
Epoch 1.94 / 5, i = 336 / 1780, loss = 3.211748	
Epoch 1.95 / 5, i = 337 / 1780, loss = 3.201792	
Epoch 1.95 / 5, i = 338 / 1780, loss = 3.238183	
Epoch 1.95 / 5, i = 339 / 1780, loss = 3.212189	
Epoch 1.96 / 5, i = 340 / 1780, loss = 3.164460	
Epoch 1.96 / 5, i = 341 / 1780, loss = 3.177941	
Epoch 1.96 / 5, i = 342 / 1780, loss = 3.199769	
Epoch 1.96 / 5, i = 343 / 1780, loss = 3.237821	
Epoch 1.97 / 5, i = 344 / 1780, loss = 3.227615	
